agency_id,route_id,route_short_name,route_long_name,route_type,route_color,route_text_color,route_url
29,101,101,"Mariner P&R - Aurora Village",3,0070C0,FFFFFF,https://www.communitytransit.org/route/101
29,105,105,"Mariner Park & Ride/Hardeson Road - Bothell",3,0070C0,FFFFFF,https://www.communitytransit.org/route/105
29,106,106,"Mariner P&R - Bothell",3,0070C0,FFFFFF,https://www.communitytransit.org/route/106
29,107,107,"Lynnwood - Seaway Transit Center",3,0070C0,FFFFFF,https://www.communitytransit.org/route/107
29,109,109,"Ash Way P&R - Lake Stevens",3,0070C0,FFFFFF,https://www.communitytransit.org/route/109
29,111,111,"Brier - Mountlake Terrace",3,0070C0,FFFFFF,https://www.communitytransit.org/route/111
29,112,112,"Mountlake Terrace - Ash Way P&R",3,0070C0,FFFFFF,https://www.communitytransit.org/route/112
29,113,113,"Mukilteo - Lynnwood TC",3,0070C0,FFFFFF,https://www.communitytransit.org/route/113
29,115,115,"McCollum Park P&R - Aurora Village",3,0070C0,FFFFFF,https://www.communitytransit.org/route/115
29,116,116,"Silver Firs - Edmonds",3,0070C0,FFFFFF,https://www.communitytransit.org/route/116
29,119,119,"Ash Way P&R - Mountlake Terrace",3,0070C0,FFFFFF,https://www.communitytransit.org/route/119
29,120,120,"Canyon Park - Edmonds College",3,0070C0,FFFFFF,https://www.communitytransit.org/route/120
29,130,130,"Edmonds - Lynnwood",3,0070C0,FFFFFF,https://www.communitytransit.org/route/130
29,196,196,"Ash Way P&R - Edmonds",3,0070C0,FFFFFF,https://www.communitytransit.org/route/196
29,201,201,"Smokey Point - Lynnwood",3,0070C0,FFFFFF,https://www.communitytransit.org/route/201
29,202,202,"Smokey Point - Lynnwood",3,0070C0,FFFFFF,https://www.communitytransit.org/route/202
29,209,209,"Smokey Point - Lake Stevens",3,0070C0,FFFFFF,https://www.communitytransit.org/route/209
29,220,220,"Arlington - Smokey Point",3,0070C0,FFFFFF,https://www.communitytransit.org/route/220
29,222,222,"Marysville - Tulalip",3,0070C0,FFFFFF,https://www.communitytransit.org/route/222
29,227,227,"Arlington - Seaway Transit Center",3,0070C0,FFFFFF,https://www.communitytransit.org/route/227
29,230,230,"Darrington - Smokey Point",3,0070C0,FFFFFF,https://www.communitytransit.org/route/230
29,240,240,"Stanwood - Smokey Point",3,0070C0,FFFFFF,https://www.communitytransit.org/route/240
29,247,247,"Stanwood - Seaway Transit Center",3,0070C0,FFFFFF,https://www.communitytransit.org/route/247
29,270,270,"Gold Bar - Everett",3,0070C0,FFFFFF,https://www.communitytransit.org/route/270
29,271,271,"Gold Bar - Everett",3,0070C0,FFFFFF,https://www.communitytransit.org/route/271
29,280,280,"Granite Falls - Everett",3,0070C0,FFFFFF,https://www.communitytransit.org/route/280
29,402,402,"Lynnwood - Seattle",3,0070C0,FFFFFF,https://www.communitytransit.org/route/402
29,405,405,"Edmonds P&R - Seattle",3,0070C0,FFFFFF,https://www.communitytransit.org/route/405
29,410,410,"Mariner P&R - Seattle",3,0070C0,FFFFFF,https://www.communitytransit.org/route/410
29,412,412,"Silver Firs - Seattle",3,0070C0,FFFFFF,https://www.communitytransit.org/route/412
29,413,413,"Swamp Creek P&R - Seattle",3,0070C0,FFFFFF,https://www.communitytransit.org/route/413
29,415,415,"North Lynnwood - Seattle",3,0070C0,FFFFFF,https://www.communitytransit.org/route/415
29,416,416,"Edmonds - Seattle",3,0070C0,FFFFFF,https://www.communitytransit.org/route/416
29,417,417,"Mukilteo - Seattle",3,0070C0,FFFFFF,https://www.communitytransit.org/route/417
29,421,421,"Marysville - Seattle",3,0070C0,FFFFFF,https://www.communitytransit.org/route/421
29,422,422,"Stanwood - Seattle",3,0070C0,FFFFFF,https://www.communitytransit.org/route/422
29,424,424,"Snohomish - Seattle",3,0070C0,FFFFFF,https://www.communitytransit.org/route/424
29,425,425,"Lake Stevens - Seattle",3,0070C0,FFFFFF,https://www.communitytransit.org/route/425
29,435,435,"Mill Creek - Seattle",3,0070C0,FFFFFF,https://www.communitytransit.org/route/435
40,510,510,"Everett - Seattle",3,2B376E,FFFFFF,https://www.soundtransit.org/ride-with-us/routes-schedules/510
40,512,512,"Everett - Northgate Station",3,2B376E,FFFFFF,https://www.soundtransit.org/ride-with-us/routes-schedules/512
40,513,513,"Seaway Transit Center - Northgate Station",3,2B376E,FFFFFF,https://www.soundtransit.org/ride-with-us/routes-schedules/513
40,532,532,"Everett - Bellevue",3,2B376E,FFFFFF,https://www.soundtransit.org/ride-with-us/routes-schedules/532
40,535,535,"Lynnwood - Bellevue",3,2B376E,FFFFFF,https://www.soundtransit.org/ride-with-us/routes-schedules/535
29,701,Swift Blue,"Everett - Aurora Village",3,006CFF,FFFFFF,https://www.communitytransit.org/route/701
29,702,Swift Green,"Seaway - Canyon Park",3,00AA00,FFFFFF,https://www.communitytransit.org/route/702
29,810,810,"McCollum Park - Northgate Station",3,0070C0,FFFFFF,https://www.communitytransit.org/route/810
29,821,821,"Marysville - Northgate Station",3,0070C0,FFFFFF,https://www.communitytransit.org/route/821
29,860,860,"McCollum Park - Northgate Station",3,0070C0,FFFFFF,https://www.communitytransit.org/route/860
29,871,871,"Edmonds P&R - Northgate Station",3,0070C0,FFFFFF,https://www.communitytransit.org/route/871
29,880,880,"Mukilteo - Northgate Station",3,0070C0,FFFFFF,https://www.communitytransit.org/route/880
